"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (Olink 5K - SomaScan 11K)","P08697","SERPINF2","Alpha-2-antiplasmin",NA,"3024-18","OID45498",0.464965414332503,78,NA,NA,"Weak correlation","Spearman","OID30779",0.462012609629812,88,7.52082909420933e-06,1.36731337316624e-05,"Weak correlation","Spearman"
"Kirsher et al. (Olink 5K - SomaScan 11K)","P05155","SERPING1","Plasma protease C1 inhibitor",NA,"13710-6","OID45499",0.293314280656053,78,NA,NA,"No correlation","Spearman","OID30777",0.551389524849424,88,4.51436816326322e-08,9.93512993435511e-08,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 5K - SomaScan 11K)","P05155","SERPING1","Plasma protease C1 inhibitor",NA,"4479-14","OID45499",0.721999519467874,78,NA,NA,"Strong correlation","Spearman","OID30777",0.551389524849424,88,4.51436816326322e-08,9.93512993435511e-08,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 5K - SomaScan 11K)","P02787","TF","Serotransferrin",NA,"4162-54","OID45500",0.330011760391507,78,NA,NA,"Weak correlation","Spearman","OID30783",0.368842101559092,88,0.00040605719999593,0.000649346428888676,"Weak correlation","Spearman"
"Wang et al.","A6NI73","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5",NA,"seq.8766.29","LILRA5",0.687785876348649,3976,NA,NA,"Moderate correlation","Spearman","OID20209",0.737334244702666,76,0,0,"Strong correlation","Spearman"
"Wang et al.","A6NI73","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5",NA,"seq.7787.25","LILRA5",0.806957835075832,3976,NA,NA,"Strong correlation","Spearman","OID20209",0.737334244702666,76,0,0,"Strong correlation","Spearman"
"Wang et al.","A8MVW5","HEPACAM2","HEPACAM family member 2",NA,"seq.9116.28","HEPACAM2",-0.0443756770331187,3976,NA,NA,"No correlation","Spearman","OID31151",0.56587716081387,78,1.1903697344586e-07,2.54531710265864e-07,"Moderate correlation","Spearman"
"Wang et al.","A8MVW5","HEPACAM2","HEPACAM family member 2",NA,"seq.6568.18","HEPACAM2",-0.0202093685931241,3976,NA,NA,"No correlation","Spearman","OID31151",0.56587716081387,78,1.1903697344586e-07,2.54531710265864e-07,"Moderate correlation","Spearman"
"Wang et al.","O00161","SNAP23","Synaptosomal-associated protein 23",NA,"seq.20241.9","SNAP23",0.043104905794689,3976,NA,NA,"No correlation","Spearman","OID20218",0.760887096774194,31,2.22071618312231e-06,4.25668687732612e-06,"Strong correlation","Spearman"
"Wang et al.","O00194","RAB27B","Ras-related protein Rab-27B",NA,"seq.13596.3","RAB27B",0.0454249509594527,3976,NA,NA,"No correlation","Spearman","OID30354",0.802120390264521,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O00233","PSMD9","26S proteasome non-ATPase regulatory subunit 9",NA,"seq.13931.22","PSMD9",0.688550727854677,3976,NA,NA,"Moderate correlation","Spearman","OID21304",0.807720756577789,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O00241","SIRPB1","Signal-regulatory protein beta-1",NA,"seq.6247.9","SIRPB1",0.522406638995515,3976,NA,NA,"Moderate correlation","Spearman","OID20739",0.539087777893748,66,4.3723043954287e-06,8.12246840091417e-06,"Moderate correlation","Spearman"
"Wang et al.","O00244","ATOX1","Copper transport protein ATOX1",NA,"seq.19233.75","ATOX1",0.536684129884866,3976,NA,NA,"Moderate correlation","Spearman","OID21476",0.795637198622273,66,0,0,"Strong correlation","Spearman"
"Wang et al.","O00339","MATN2","Matrilin-2",NA,"seq.3325.2","MATN2",0.434592648294988,3976,NA,NA,"Weak correlation","Spearman","OID20767",0.158933697881066,76,0.169944886632145,0.205677356559344,"No correlation","Spearman"
"Wang et al.","O00391","QSOX1","Sulfhydryl oxidase 1",NA,"seq.6217.23","QSOX1",0.484126640817699,3976,NA,NA,"Weak correlation","Spearman","OID30729",0.28581240533972,88,0.00712293351904381,0.0100900777202013,"No correlation","Spearman"
"Wang et al.","O00451","GFRA2","GDNF family receptor alpha-2",NA,"seq.2515.14","GFRA2",0.634304384040115,3976,NA,NA,"Moderate correlation","Spearman","OID21330",0.561251805149519,88,2.30096369097905e-08,5.21644178135612e-08,"Moderate correlation","Spearman"
"Wang et al.","O00584","RNASET2","Ribonuclease T2",NA,"seq.16913.8","RNASET2",0.520900913905836,3976,NA,NA,"Moderate correlation","Spearman","OID20321",0.581487090979536,88,4.78441085532714e-09,1.13478988564377e-08,"Moderate correlation","Spearman"
"Wang et al.","O00585","CCL21","C-C motif chemokine 21",NA,"seq.2516.57","CCL21",0.624247920784034,3976,NA,NA,"Moderate correlation","Spearman","OID20686",0.382433356117567,56,0.00384620861146334,0.00561029654049368,"Weak correlation","Spearman"
"Wang et al.","O00602","FCN1","Ficolin-1",NA,"seq.3613.62","FCN1",0.686666771559377,3976,NA,NA,"Moderate correlation","Spearman","OID30690",0.683221281492311,88,2.23860649146187e-13,6.06087944570852e-13,"Moderate correlation","Spearman"
"Wang et al.","O00602","FCN1","Ficolin-1",NA,"seq.15582.25","FCN1",0.493852949012588,3976,NA,NA,"Weak correlation","Spearman","OID30690",0.683221281492311,88,2.23860649146187e-13,6.06087944570852e-13,"Moderate correlation","Spearman"
"Wang et al.","O00602","FCN1","Ficolin-1",NA,"seq.22961.7","FCN1",0.777967328859633,3976,NA,NA,"Strong correlation","Spearman","OID30690",0.683221281492311,88,2.23860649146187e-13,6.06087944570852e-13,"Moderate correlation","Spearman"
"Wang et al.","O14579","COPE","Coatomer subunit epsilon",NA,"seq.19310.81","COPE",-0.00842614391848835,3976,NA,NA,"No correlation","Spearman","OID20797",-0.00490196078431373,17,0.988686983859535,0.990441530414743,"No correlation","Spearman"
"Wang et al.","O14594","NCAN","Neurocan core protein",NA,"seq.15573.110","NCAN",0.804636785903614,3976,NA,NA,"Strong correlation","Spearman","OID21055",0.220025193724472,68,0.0715227329686396,0.0915523418612179,"No correlation","Spearman"
"Wang et al.","O14618","CCS","Copper chaperone for superoxide dismutase",NA,"seq.13068.139","CCS",-0.0337967520694763,3976,NA,NA,"No correlation","Spearman","OID20973",0.722151898734177,80,0,0,"Strong correlation","Spearman"
"Wang et al.","O14737","PDCD5","Programmed cell death protein 5",NA,"seq.12517.52","PDCD5",0.815910393054201,3976,NA,NA,"Strong correlation","Spearman","OID21021",0.890909090909091,10,0.00138026714145767,0.00210584000365636,"Strong correlation","Spearman"
"Wang et al.","O14745","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1",NA,"seq.24694.158","SLC9A3R1",0.678935997292403,3976,NA,NA,"Moderate correlation","Spearman","OID30630",0.868726004719806,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O14773","TPP1","Tripeptidyl-peptidase 1",NA,"seq.17691.1","TPP1",0.791682350564244,3976,NA,NA,"Strong correlation","Spearman","OID20750",0.504142173615858,76,4.7149256535634e-06,8.74080634297714e-06,"Moderate correlation","Spearman"
"Wang et al.","O14786","NRP1","Neuropilin-1",NA,"seq.3214.3","NRP1",0.611799600957732,3976,NA,NA,"Moderate correlation","Spearman","OID20390",0.776141877226009,88,6.55630766004925e-19,1.96341415071501e-18,"Strong correlation","Spearman"
"Wang et al.","O14786","NRP1","Neuropilin-1",NA,"seq.5542.22","NRP1",0.771924281663119,3976,NA,NA,"Strong correlation","Spearman","OID20390",0.776141877226009,88,6.55630766004925e-19,1.96341415071501e-18,"Strong correlation","Spearman"
"Wang et al.","O14791","APOL1","Apolipoprotein L1",NA,"seq.9506.10","APOL1",0.109899846104981,3976,NA,NA,"No correlation","Spearman","OID30708",0.150329329717164,88,0.161845026061638,0.197325091170183,"No correlation","Spearman"
"Wang et al.","O14791","APOL1","Apolipoprotein L1",NA,"seq.11510.51","APOL1",0.612220202375977,3976,NA,NA,"Moderate correlation","Spearman","OID30708",0.150329329717164,88,0.161845026061638,0.197325091170183,"No correlation","Spearman"
"Wang et al.","O14791","APOL1","Apolipoprotein L1",NA,"seq.11510.31","APOL1",0.662988942004413,3976,NA,NA,"Moderate correlation","Spearman","OID30708",0.150329329717164,88,0.161845026061638,0.197325091170183,"No correlation","Spearman"
"Wang et al.","O14793","MSTN","Growth/differentiation factor 8",NA,"seq.14583.49","MSTN",0.242161697927667,3976,NA,NA,"No correlation","Spearman","OID20115",0.741256031841077,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O14793","MSTN","Growth/differentiation factor 8",NA,"seq.12077.32","MSTN",0.661193254860597,3976,NA,NA,"Moderate correlation","Spearman","OID20115",0.741256031841077,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O14917","PCDH17","Protocadherin-17",NA,"seq.21395.23","PCDH17",0.742603051522627,3976,NA,NA,"Strong correlation","Spearman","OID20132",0.422529644268775,45,0.00412102386342854,0.00599048503789935,"Weak correlation","Spearman"
"Wang et al.","O14960","LECT2","Leukocyte cell-derived chemotaxin-2",NA,"seq.5970.61","LECT2",0.105077518335071,3976,NA,NA,"No correlation","Spearman","OID30320",0.264222219289568,88,0.0128622151903274,0.0177958835170093,"No correlation","Spearman"
"Wang et al.","O14960","LECT2","Leukocyte cell-derived chemotaxin-2",NA,"seq.16763.11","LECT2",0.502597738445848,3976,NA,NA,"Moderate correlation","Spearman","OID30320",0.264222219289568,88,0.0128622151903274,0.0177958835170093,"No correlation","Spearman"
"Wang et al.","O14964","HGS","Hepatocyte growth factor-regulated tyrosine kinase substrate",NA,"seq.13644.30","HGS",0.302363526790249,3976,NA,NA,"Weak correlation","Spearman","OID21175",-0.212121212121212,10,0.559908079271241,0.611350310925755,"No correlation","Spearman"
"Wang et al.","O15031","PLXNB2","Plexin-B2",NA,"seq.10855.55","PLXNB2",0.170319784257213,3976,NA,NA,"No correlation","Spearman","OID20317",0.580624141453278,88,5.16145756302416e-09,1.21655231495914e-08,"Moderate correlation","Spearman"
"Wang et al.","O15031","PLXNB2","Plexin-B2",NA,"seq.9216.100","PLXNB2",0.642204075347549,3976,NA,NA,"Moderate correlation","Spearman","OID20317",0.580624141453278,88,5.16145756302416e-09,1.21655231495914e-08,"Moderate correlation","Spearman"
"Wang et al.","O15116","LSM1","U6 snRNA-associated Sm-like protein LSm1",NA,"seq.17795.176","LSM1",0.0333770707616046,3976,NA,NA,"No correlation","Spearman","OID21210",-0.4,9,0.291192680776014,0.335808515419939,"No correlation","Spearman"
"Wang et al.","O15335","CHAD","Chondroadherin",NA,"seq.13460.4","CHAD",0.848727330720207,3976,NA,NA,"Strong correlation","Spearman","OID30660",0.507284470807596,88,4.559942745687e-07,9.24268466764923e-07,"Moderate correlation","Spearman"
"Wang et al.","O15394","NCAM2","Neural cell adhesion molecule 2",NA,"seq.6507.16","NCAM2",0.630687046768913,3976,NA,NA,"Moderate correlation","Spearman","OID21095",0.755961396217111,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O15400","STX7","Syntaxin-7",NA,"seq.8274.64","STX7",0.263397467041211,3976,NA,NA,"No correlation","Spearman","OID30560",0.769230769230769,12,0.0052529205777348,0.0075548373659396,"Strong correlation","Spearman"
"Wang et al.","O15467","CCL16","C-C motif chemokine 16",NA,"seq.4913.78","CCL16",0.867441616878929,3976,NA,NA,"Strong correlation","Spearman","OID20334",0.829998943327111,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O43278","SPINT1","Kunitz-type protease inhibitor 1",NA,"seq.2828.82","SPINT1",0.370417163028956,3976,NA,NA,"Weak correlation","Spearman","OID21109",0.846817653481737,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O43291","SPINT2","Kunitz-type protease inhibitor 2",NA,"seq.2843.13","SPINT2",0.400998930307212,3976,NA,NA,"Weak correlation","Spearman","OID20720",0.0515384615384615,25,0.8066552976447,0.8362845096794,"No correlation","Spearman"
"Wang et al.","O43396","TXNL1","Thioredoxin-like protein 1",NA,"seq.21475.137","TXNL1",0.00540405711013903,3976,NA,NA,"No correlation","Spearman","OID30872",0.0938149413546547,88,0.38393411199781,0.433461612445527,"No correlation","Spearman"
"Wang et al.","O43399","TPD52L2","Tumor protein D54",NA,"seq.23265.15","TPD52L2",0.823502545553657,3976,NA,NA,"Strong correlation","Spearman","OID30609",0.798686679174484,40,3.88429633232873e-08,8.64964607337108e-08,"Strong correlation","Spearman"
"Wang et al.","O43508","TNFSF12","Tumor necrosis factor ligand superfamily member 12",NA,"seq.5939.42","TNFSF12",0.526754769539227,3976,NA,NA,"Moderate correlation","Spearman","OID20624",0.125383395029085,61,0.334734359851501,0.38096279462938,"No correlation","Spearman"
"Wang et al.","O43583","DENR","Density-regulated protein",NA,"seq.19287.59","DENR",0.176708641401719,3976,NA,NA,"No correlation","Spearman","OID30493",0.68907681465821,44,6.41912820883246e-07,1.28268951287997e-06,"Moderate correlation","Spearman"
"Wang et al.","O43598","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1",NA,"seq.17785.11","DNPH1",0.459846022428118,3976,NA,NA,"Weak correlation","Spearman","OID20744",0.563636363636364,21,0.00882016806570389,0.0124009585880195,"Moderate correlation","Spearman"
"Wang et al.","O43639","NCK2","Cytoplasmic protein NCK2",NA,"seq.13615.60","NCK2",0.804462606659619,3976,NA,NA,"Strong correlation","Spearman","OID20683",0.677887154861945,50,1.93167483768018e-07,4.00893546275906e-07,"Moderate correlation","Spearman"
"Wang et al.","O43665","RGS10","Regulator of G-protein signaling 10",NA,"seq.11634.32","RGS10",0.277487108992576,3976,NA,NA,"No correlation","Spearman","OID30999",0.652918178295939,88,0,0,"Moderate correlation","Spearman"
"Wang et al.","O43681","GET3","ATPase GET3",NA,"seq.13620.10","GET3",0.0222622117395596,3976,NA,NA,"No correlation","Spearman","OID30303",-0.0255839822024472,30,0.893483018507588,0.912063587608559,"No correlation","Spearman"
"Wang et al.","O43707","ACTN4","Alpha-actinin-4",NA,"seq.25057.2","ACTN4",0.00349960809606598,3976,NA,NA,"No correlation","Spearman","OID20435",0.0312951287379804,88,0.771848035490566,0.803889697480488,"No correlation","Spearman"
"Wang et al.","O43768","ENSA","Alpha-endosulfine",NA,"seq.17734.13","ENSA",0.0942405537855932,3976,NA,NA,"No correlation","Spearman","OID31355",0.668772893772894,64,1.46138326838906e-09,3.61820550441064e-09,"Moderate correlation","Spearman"
"Wang et al.","O43827","ANGPTL7","Angiopoietin-related protein 7",NA,"seq.6371.50","ANGPTL7",-0.0135529088942145,3976,NA,NA,"No correlation","Spearman","OID21412",0.0714285714285714,8,0.881994047619048,0.904439506507164,"No correlation","Spearman"
"Wang et al.","O43866","CD5L","CD5 antigen-like",NA,"seq.3293.2","CD5L",0.779521020275616,3976,NA,NA,"Strong correlation","Spearman","OID30775",0.758761579373745,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O43915","VEGFD","Vascular endothelial growth factor D",NA,"seq.14705.1","VEGFD",0.493124367911606,3976,NA,NA,"Weak correlation","Spearman","OID20662",0.703349282296651,76,0,0,"Strong correlation","Spearman"
"Wang et al.","O43915","VEGFD","Vascular endothelial growth factor D",NA,"seq.13098.93","VEGFD",0.703960427707264,3976,NA,NA,"Strong correlation","Spearman","OID20662",0.703349282296651,76,0,0,"Strong correlation","Spearman"
"Wang et al.","O60234","GMFG","Glia maturation factor gamma",NA,"seq.13062.4","GMFG",0.43290415061632,3976,NA,NA,"Weak correlation","Spearman","OID30340",0.873850868232891,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O60242","ADGRB3","Adhesion G protein-coupled receptor B3",NA,"seq.15365.41","ADGRB3",0.0236028724768514,3976,NA,NA,"No correlation","Spearman","OID20974",-0.260606060606061,10,0.469675250206491,0.52088738456103,"No correlation","Spearman"
"Wang et al.","O60243","HS6ST1","Heparan-sulfate 6-O-sulfotransferase 1",NA,"seq.5465.32","HS6ST1",0.48597306082847,3976,NA,NA,"Weak correlation","Spearman","OID21441",-0.283333333333333,9,0.462990520282187,0.514484544683651,"No correlation","Spearman"
"Wang et al.","O60462","NRP2","Neuropilin-2",NA,"seq.15387.44","NRP2",0.66640664937192,3976,NA,NA,"Moderate correlation","Spearman","OID21081",0.603691343154531,88,4.78657108962196e-10,1.22540561455401e-09,"Moderate correlation","Spearman"
"Wang et al.","O60462","NRP2","Neuropilin-2",NA,"seq.6590.54","NRP2",0.555298898561682,3976,NA,NA,"Moderate correlation","Spearman","OID21081",0.603691343154531,88,4.78657108962196e-10,1.22540561455401e-09,"Moderate correlation","Spearman"
"Wang et al.","O60476","MAN1A2","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",NA,"seq.9077.10","MAN1A2",0.465316738466046,3976,NA,NA,"Weak correlation","Spearman","OID30262",0.0671791443850267,33,0.709436708979476,0.748054498996409,"No correlation","Spearman"
"Wang et al.","O60664","PLIN3","Perilipin-3",NA,"seq.14687.6","PLIN3",-0.0240404098932393,3976,NA,NA,"No correlation","Spearman","OID20143",0.473653622626889,88,4.16191446952635e-06,7.76661394395908e-06,"Weak correlation","Spearman"
"Wang et al.","O60760","HPGDS","Hematopoietic prostaglandin D synthase",NA,"seq.12549.33","HPGDS",0.57998745159418,3976,NA,NA,"Moderate correlation","Spearman","OID21266",0.353399541634836,34,0.0409902434338705,0.0541262980547834,"Weak correlation","Spearman"
"Wang et al.","O75015","FCGR3B","Low affinity immunoglobulin gamma Fc region receptor III-B",NA,"seq.3311.27","FCGR3B",0.288150152702694,3976,NA,NA,"No correlation","Spearman","OID20387",0.689901729421296,88,0,0,"Moderate correlation","Spearman"
"Wang et al.","O75023","LILRB5","Leukocyte immunoglobulin-like receptor subfamily B member 5",NA,"seq.7015.8","LILRB5",0.797472824615059,3976,NA,NA,"Strong correlation","Spearman","OID20324",0.867422774823008,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O75071","EFCAB14","EF-hand calcium-binding domain-containing protein 14",NA,"seq.10830.5","EFCAB14",-0.111515146738471,3976,NA,NA,"No correlation","Spearman","OID31460",0.738961038961039,21,0.000197139591151203,0.000324446936457301,"Strong correlation","Spearman"
"Wang et al.","O75071","EFCAB14","EF-hand calcium-binding domain-containing protein 14",NA,"seq.9514.46","EFCAB14",-0.031490081144703,3976,NA,NA,"No correlation","Spearman","OID31460",0.738961038961039,21,0.000197139591151203,0.000324446936457301,"Strong correlation","Spearman"
"Wang et al.","O75144","ICOSLG","ICOS ligand",NA,"seq.9303.9","ICOSLG",0.262368772845494,3976,NA,NA,"No correlation","Spearman","OID21351",0.551195801486387,88,4.57287913642314e-08,1.00443201265014e-07,"Moderate correlation","Spearman"
"Wang et al.","O75144","ICOSLG","ICOS ligand",NA,"seq.5061.27","ICOSLG",0.248267792564633,3976,NA,NA,"No correlation","Spearman","OID21351",0.551195801486387,88,4.57287913642314e-08,1.00443201265014e-07,"Moderate correlation","Spearman"
"Wang et al.","O75223","GGCT","Gamma-glutamylcyclotransferase",NA,"seq.21889.2","GGCT",0.303019870491037,3976,NA,NA,"Weak correlation","Spearman","OID30304",0.558128271853318,88,1.60716618177296e-08,3.68050835541921e-08,"Moderate correlation","Spearman"
"Wang et al.","O75326","SEMA7A","Semaphorin-7A",NA,"seq.7019.13","SEMA7A",0.760440550515737,3976,NA,NA,"Strong correlation","Spearman","OID20283",0.717813020113597,88,3.54766242189692e-15,9.96345988637218e-15,"Strong correlation","Spearman"
"Wang et al.","O75339","CILP","Cartilage intermediate layer protein 1",NA,"seq.5717.2","CILP",0.22644727123187,3976,NA,NA,"No correlation","Spearman","OID30399",0.498467824310521,88,1.10155816708793e-06,2.14423994938324e-06,"Weak correlation","Spearman"
"Wang et al.","O75340","PDCD6","Programmed cell death protein 6",NA,"seq.19488.1","PDCD6",0.343137970042202,3976,NA,NA,"Weak correlation","Spearman","OID20163",0.279947621565813,62,0.0278720588575956,0.0372397094085508,"No correlation","Spearman"
"Wang et al.","O75347","TBCA","Tubulin-specific chaperone A",NA,"seq.12501.10","TBCA",0.0123085155628752,3976,NA,NA,"No correlation","Spearman","OID30616",0.879821070057413,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O75351","VPS4B","Vacuolar protein sorting-associated protein 4B",NA,"seq.12668.7","VPS4B",0.0857212855868678,3976,NA,NA,"No correlation","Spearman","OID31386",0.692741935483871,31,2.59568156246651e-05,4.5646798816584e-05,"Moderate correlation","Spearman"
"Wang et al.","O75356","ENTPD5","Nucleoside diphosphate phosphatase ENTPD5",NA,"seq.4437.56","ENTPD5",0.59807506752073,3976,NA,NA,"Moderate correlation","Spearman","OID20104",0.497501397901153,88,8.17171915909925e-07,1.62427305116603e-06,"Weak correlation","Spearman"
"Wang et al.","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,"seq.5404.53","TNFRSF21",0.71765262146013,3976,NA,NA,"Strong correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Wang et al.","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,"seq.9259.35","TNFRSF21",0.652112921585787,3976,NA,NA,"Moderate correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Wang et al.","O75594","PGLYRP1","Peptidoglycan recognition protein 1",NA,"seq.14064.21","PGLYRP1",-0.0591772421597943,3976,NA,NA,"No correlation","Spearman","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O75594","PGLYRP1","Peptidoglycan recognition protein 1",NA,"seq.3329.14","PGLYRP1",0.65588201893291,3976,NA,NA,"Moderate correlation","Spearman","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O75629","CREG1","Protein CREG1",NA,"seq.9357.4","CREG1",0.75969522754798,3976,NA,NA,"Strong correlation","Spearman","OID21515",0.316385474270015,88,0.0027873747087424,0.00412985045429157,"Weak correlation","Spearman"
"Wang et al.","O75695","RP2","Protein XRP2",NA,"seq.23391.20","RP2",0.0368652001238614,3976,NA,NA,"No correlation","Spearman","OID21302",-0.021978021978022,13,0.949418436540724,0.957212474661608,"No correlation","Spearman"
"Wang et al.","O75791","GRAP2","GRB2-related adapter protein 2",NA,"seq.5265.12","GRAP2",-0.146902122509945,3976,NA,NA,"No correlation","Spearman","OID20192",0.669811902559359,46,8.38030821208944e-07,1.65988911779807e-06,"Moderate correlation","Spearman"
"Wang et al.","O75791","GRAP2","GRB2-related adapter protein 2",NA,"seq.16074.12","GRAP2",0.143025511302562,3976,NA,NA,"No correlation","Spearman","OID20192",0.669811902559359,46,8.38030821208944e-07,1.65988911779807e-06,"Moderate correlation","Spearman"
"Wang et al.","O76061","STC2","Stanniocalcin-2",NA,"seq.6231.46","STC2",-0.0590264698394917,3976,NA,NA,"No correlation","Spearman","OID21157",0.551054911767814,88,4.61587275383186e-08,1.01190686195654e-07,"Moderate correlation","Spearman"
"Wang et al.","O76070","SNCG","Gamma-synuclein",NA,"seq.19630.2","SNCG",0.0252536483665606,3976,NA,NA,"No correlation","Spearman","OID20971",0.728629032258065,31,6.79503089170092e-06,1.24336951000492e-05,"Strong correlation","Spearman"
"Wang et al.","O76074","PDE5A","cGMP-specific 3',5'-cyclic phosphodiesterase",NA,"seq.5256.86","PDE5A",0.814509250378791,3976,NA,NA,"Strong correlation","Spearman","OID30584",0.858581944982565,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O76074","PDE5A","cGMP-specific 3',5'-cyclic phosphodiesterase",NA,"seq.16805.5","PDE5A",0.849886741046708,3976,NA,NA,"Strong correlation","Spearman","OID30584",0.858581944982565,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O76076","CCN5","CCN family member 5",NA,"seq.6392.7","CCN5",0.787988401058357,3976,NA,NA,"Strong correlation","Spearman","OID21068",0.526209677419355,63,1.29184054656684e-05,2.30365970297543e-05,"Moderate correlation","Spearman"
"Wang et al.","O94760","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",NA,"seq.19392.6","DDAH1",0.299048366068031,3976,NA,NA,"No correlation","Spearman","OID21299",0.304048582995951,39,0.0602631275241394,0.0773148533804015,"Weak correlation","Spearman"
"Wang et al.","O94856","NFASC","Neurofascin",NA,"seq.7179.69","NFASC",0.722973734366437,3976,NA,NA,"Strong correlation","Spearman","OID20634",0.43783422459893,33,0.0114545043906049,0.015945913017254,"Weak correlation","Spearman"
"Wang et al.","O94903","PLPBP","Pyridoxal phosphate homeostasis protein",NA,"seq.20439.14","PLPBP",0.864881030189704,3976,NA,NA,"Strong correlation","Spearman","OID20144",0.0166666666666667,9,0.981569664902998,0.984184859392083,"No correlation","Spearman"
"Wang et al.","O94985","CLSTN1","Calsyntenin-1",NA,"seq.15521.4","CLSTN1",0.166586763257684,3976,NA,NA,"No correlation","Spearman","OID20874",0.207301609665035,88,0.0527784232101329,0.0684906204646437,"No correlation","Spearman"
"Wang et al.","O95166","GABARAP","Gamma-aminobutyric acid receptor-associated protein",NA,"seq.22966.20","GABARAP",0.193516297157924,3976,NA,NA,"No correlation","Spearman","OID31414",0.306321561038542,53,0.0260925528717482,0.0351114328870127,"Weak correlation","Spearman"
"Wang et al.","O95166","GABARAP","Gamma-aminobutyric acid receptor-associated protein",NA,"seq.17735.130","GABARAP",0.185937551541486,3976,NA,NA,"No correlation","Spearman","OID31414",0.306321561038542,53,0.0260925528717482,0.0351114328870127,"Weak correlation","Spearman"
"Wang et al.","O95274","LYPD3","Ly6/PLAUR domain-containing protein 3",NA,"seq.13107.9","LYPD3",0.533583612246866,3976,NA,NA,"Moderate correlation","Spearman","OID21530",0.461466661970343,88,7.72871697276975e-06,1.40284910968763e-05,"Weak correlation","Spearman"
"Wang et al.","O95379","TNFAIP8","Tumor necrosis factor alpha-induced protein 8",NA,"seq.12563.2","TNFAIP8",0.113938606546891,3976,NA,NA,"No correlation","Spearman","OID20433",0.248484848484848,10,0.491555497342584,0.543019722602522,"No correlation","Spearman"
"Wang et al.","O95393","BMP10","Bone morphogenetic protein 10",NA,"seq.3587.53","BMP10",0.250586605172858,3976,NA,NA,"No correlation","Spearman","OID30575",0.565560942092606,68,8.25055063275543e-07,1.63706004646413e-06,"Moderate correlation","Spearman"
"Wang et al.","O95445","APOM","Apolipoprotein M",NA,"seq.10445.20","APOM",0.559119034946025,3976,NA,NA,"Moderate correlation","Spearman","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O95445","APOM","Apolipoprotein M",NA,"seq.14125.5","APOM",0.458127021413954,3976,NA,NA,"Weak correlation","Spearman","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Wang et al.","O95467","GNAS","Neuroendocrine secretory protein 55",NA,"seq.5757.45","GNAS",-0.0424838604192555,3976,NA,NA,"No correlation","Spearman","OID31008",0,33,1,1,"No correlation","Spearman"
"Wang et al.","O95633","FSTL3","Follistatin-related protein 3",NA,"seq.3438.10","FSTL3",0.824861058658545,3976,NA,NA,"Strong correlation","Spearman","OID20782",0.384072580645161,63,0.00202257817467991,0.00303252424862366,"Weak correlation","Spearman"
"Wang et al.","O95727","CRTAM","Cytotoxic and regulatory T-cell molecule",NA,"seq.7968.15","CRTAM",0.690508082859084,3976,NA,NA,"Moderate correlation","Spearman","OID20914",0.697536945812808,29,4.17310638208643e-05,7.28197388775205e-05,"Moderate correlation","Spearman"
"Wang et al.","O95817","BAG3","BAG family molecular chaperone regulator 3",NA,"seq.10078.5","BAG3",0.0338630400711464,3976,NA,NA,"No correlation","Spearman","OID20972",0.30952380952381,8,0.461805555555556,0.51367337164751,"Weak correlation","Spearman"
