"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96A00","PPP1R14A","Protein phosphatase 1 regulatory subunit 14A","OID44116",0.548451548451548,78,NA,NA,"Moderate correlation","Spearman","OID31011",0.843607139129527,66,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96AP7","ESAM","Endothelial cell-selective adhesion molecule","OID45119",0.610414901554142,78,NA,NA,"Moderate correlation","Spearman","OID20270",0.588992061715677,88,1.57856464264046e-09,3.88278754148383e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96B86","RGMA","Repulsive guidance molecule A","OID44894",0.644380935520176,78,NA,NA,"Moderate correlation","Spearman","OID21065",0.68542848085661,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96C24","SYTL4","Synaptotagmin-like protein 4","OID44969",0.521010634934685,78,NA,NA,"Moderate correlation","Spearman","OID30339",0.651012145748988,39,1.19944797778132e-05,2.14608045469906e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96F46","IL17RA","Interleukin-17 receptor A","OID45155",0.553583916083916,78,NA,NA,"Moderate correlation","Spearman","OID21089",0.783333333333333,9,0.0172233245149912,0.0234278715390663,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96G03","PGM2","Phosphopentomutase","OID42903",-0.017210637463802,78,NA,NA,"No correlation","Spearman","OID30904",0.215245215234093,88,0.0440114831162595,0.057845127401929,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96GG9","DCUN1D1","DCN1-like protein 1","OID42354",0.227368421052632,78,NA,NA,"No correlation","Spearman","OID30830",0.227125506072874,39,0.163926467825369,0.19943209286082,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96GP6","SCARF2","Scavenger receptor class F member 2","OID44908",0.191664295874822,78,NA,NA,"No correlation","Spearman","OID21048",0.498989898989899,54,0.000150220397563947,0.000251257524221771,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96H15","TIMD4","T-cell immunoglobulin and mucin domain-containing protein 4","OID45424",0.329354190113684,78,NA,NA,"Weak correlation","Spearman","OID20375",0.887045573630404,88,1.31110685746803e-30,4.14632952963981e-30,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96HC4","PDLIM5","PDZ and LIM domain protein 5","OID44084",0.762844750186522,78,NA,NA,"Strong correlation","Spearman","OID31063",0.417343243758338,54,0.00184284094926374,0.00278896438568199,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96I82","KAZALD1","Kazal-type serine protease inhibitor domain-containing protein 1","OID43885",0.463841421736159,78,NA,NA,"Weak correlation","Spearman","OID21339",0.608791208791209,14,0.0236548803059208,0.0319836645094425,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96IU4","ABHD14B","Putative protein-lysine deacylase ABHD14B","OID43313",0.747138937012355,78,NA,NA,"Strong correlation","Spearman","OID20921",0.584322496565813,88,3.69383556340337e-09,8.87306457677106e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96IY4","CPB2","Carboxypeptidase B2","OID45459",0.368226709998862,78,NA,NA,"Weak correlation","Spearman","OID30734",0.459282871332465,88,8.61565425256535e-06,1.5563317841834e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96J42","TXNDC15","Thioredoxin domain-containing protein 15","OID45002",0.303051379000746,78,NA,NA,"Weak correlation","Spearman","OID21495",0.631203550420908,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96J84","KIRREL1","Kin of IRRE-like protein 1","OID42674",-0.0291455912508544,78,NA,NA,"No correlation","Spearman","OID30806",-0.266165413533835,20,0.255590866902042,0.299960591197927,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96KG7","MEGF10","Multiple epidermal growth factor-like domains protein 10","OID44773",0.815753866386778,78,NA,NA,"Strong correlation","Spearman","OID20746",0.745729280405763,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96KN2","CNDP1","Beta-Ala-His dipeptidase","OID45337",0.831029729763907,78,NA,NA,"Strong correlation","Spearman","OID20347",0.878183227079004,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96MK3","FAM20A","Pseudokinase FAM20A","OID44646",0.276723276723277,78,NA,NA,"No correlation","Spearman","OID30348",0.720706917282342,88,2.43893132838923e-15,6.86671688217316e-15,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96NA2","RILP","Rab-interacting lysosomal protein","OID44184",0.208884998358683,78,NA,NA,"No correlation","Spearman","OID21436",0.613777526821005,22,0.00291173705627781,0.00430281562374037,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96NZ9","PRAP1","Proline-rich acidic protein 1","OID45234",0.262939592053516,78,NA,NA,"No correlation","Spearman","OID30391",0.798650980944666,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96PD2","DCBLD2","Discoidin, CUB and LCCL domain-containing protein 2","OID44594",0.421869269970536,78,NA,NA,"Weak correlation","Spearman","OID21474",0.329822831178895,88,0.00179047012143571,0.00271334331154486,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96PD5","PGLYRP2","N-acetylmuramoyl-L-alanine amidase","OID45481",0.620404911544152,78,NA,NA,"Moderate correlation","Spearman","OID30742",0.752897044838153,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96RD9","FCRL5","Fc receptor-like protein 5","OID45126",0.734417481252924,78,NA,NA,"Strong correlation","Spearman","OID21111",0.850234229157127,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q96SB3","PPP1R9B","Neurabin-2","OID44119",0.141010887846331,78,NA,NA,"No correlation","Spearman","OID20643",-0.23215103377831,88,0.0297369703861115,0.0396844439313473,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99426","TBCB","Tubulin-folding cofactor B","OID44310",0.774428103542027,78,NA,NA,"Strong correlation","Spearman","OID20993",0.864151305683564,63,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99435","NELL2","Protein kinase C-binding protein NELL2","OID44808",0.838237711655433,78,NA,NA,"Strong correlation","Spearman","OID20706",0.735461942164771,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99460","PSMD1","26S proteasome non-ATPase regulatory subunit 1","OID44135",0.384983437615017,78,NA,NA,"Weak correlation","Spearman","OID31058",0.581983805668016,39,0.00013574977162425,0.000227390937928454,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99497","PARK7","Parkinson disease protein 7","OID45210",0.431656950644292,78,NA,NA,"Weak correlation","Spearman","OID21160",0.900655137191364,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99523","SORT1","Sortilin","OID44947",0.365292934913188,78,NA,NA,"Weak correlation","Spearman","OID20213",0.465991790687719,62,0.000160492067489665,0.000267644821559574,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99536","VAT1","Synaptic vesicle membrane protein VAT-1 homolog","OID44387",0.17793598806257,78,NA,NA,"No correlation","Spearman","OID21382",0.185921594871614,88,0.0828957788082278,0.105393394453254,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99538","LGMN","Legumain","OID44752",0.401863958825984,78,NA,NA,"Weak correlation","Spearman","OID20773",0.538463740755717,68,2.17556807058724e-06,4.17723869335543e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99574","SERPINI1","Neuroserpin","OID44924",-0.0355720229137951,78,NA,NA,"No correlation","Spearman","OID30604",0.375577343813305,42,0.0147463135704501,0.0202784263350038,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99650","OSMR","Oncostatin-M-specific receptor subunit beta","OID45392",0.402622693761934,78,NA,NA,"Weak correlation","Spearman","OID20356",0.684178084604276,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99674","CGREF1","Cell growth regulator with EF hand domain protein 1","OID44535",0.476268570326066,78,NA,NA,"Weak correlation","Spearman","OID20152",0.345427204374573,76,0.0023644680665779,0.0035310640835535,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99685","MGLL","Monoglyceride lipase","OID44781",0.155654472110168,78,NA,NA,"No correlation","Spearman","OID20711",0.786893743058127,74,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99733","NAP1L4","Nucleosome assembly protein 1-like 4","OID44009",0.719698023495492,78,NA,NA,"Strong correlation","Spearman","OID31475",0.590051880067646,76,2.03249999940613e-08,4.63574242288792e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99895","CTRC","Chymotrypsin-C","OID44577",0.0530522109469478,78,NA,NA,"No correlation","Spearman","OID20752",0.524475524475525,12,0.0838845872329148,0.106530595034827,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99969","RARRES2","Retinoic acid receptor responder protein 2","OID45404",0.330644039504799,78,NA,NA,"Weak correlation","Spearman","OID20373",0.43300693881864,88,3.0213944262416e-05,5.3050611309903e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99972","MYOC","Myocilin","OID45194",0.243212483718813,78,NA,NA,"No correlation","Spearman","OID21121",0.557828879883184,88,1.64186987923897e-08,3.75237063494088e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q99983","OMD","Osteomodulin","OID44827",0.825035723769901,78,NA,NA,"Strong correlation","Spearman","OID20725",0.856380543129865,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BQ51","PDCD1LG2","Programmed cell death 1 ligand 2","OID44083",0.432845635377281,78,NA,NA,"Weak correlation","Spearman","OID21273",0.423450673378301,36,0.010070907767213,0.0140371047767697,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BQS7","HEPH","Hephaestin","OID44700",0.506594671151633,78,NA,NA,"Moderate correlation","Spearman","OID30337",0.490952797202797,65,4.15489203487835e-05,7.26141347891278e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BQT9","CLSTN3","Calsyntenin-3","OID43543",0.0654155970611667,78,NA,NA,"No correlation","Spearman","OID31092",0.517482517482518,12,0.0886508785755338,0.112330911236563,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BRF8","CPPED1","Serine/threonine-protein phosphatase CPPED1","OID44562",0.689323334892955,78,NA,NA,"Moderate correlation","Spearman","OID21053",0.792752637808164,62,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BS26","ERP44","Endoplasmic reticulum resident protein 44","OID43690",0.379152493076544,78,NA,NA,"Weak correlation","Spearman","OID21338",0.383027997555743,88,0.00023027095056923,0.000377871952314914,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BS40","LXN","Latexin","OID43944",0.442987392354481,78,NA,NA,"Weak correlation","Spearman","OID21003",0.655647916593287,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BSL1","UBAC1","Ubiquitin-associated domain-containing protein 1","OID44371",0.557284820442715,78,NA,NA,"Moderate correlation","Spearman","OID21336",0.789791969037252,53,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BU40","CHRDL1","Chordin-like protein 1","OID44539",0.111015566711769,78,NA,NA,"No correlation","Spearman","OID20771",0.617252221462748,76,4.91342533039537e-09,1.16294700168058e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BUD6","SPON2","Spondin-2","OID44957",0.749743926959117,78,NA,NA,"Strong correlation","Spearman","OID20221",0.702247191011236,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BUH6","PAXX","Protein PAXX","OID44831",-0.0147068121751666,78,NA,NA,"No correlation","Spearman","OID30591",-0.714285714285714,8,0.0575892857142857,0.0740527375528799,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BUN1","MENT","Protein MENT","OID44775",-0.0327394124862479,78,NA,NA,"No correlation","Spearman","OID30595",0.817741537811278,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BV20","MRI1","Methylthioribose-1-phosphate isomerase","OID42773",0.380229544613106,78,NA,NA,"Weak correlation","Spearman","OID30891",-0.0303030303030303,10,0.945709808351989,0.956726141244978,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BWV1","BOC","Brother of CDO","OID43420",0.422425675590232,78,NA,NA,"Weak correlation","Spearman","OID20116",0.544466403162055,23,0.0081038931969185,0.0114223413474669,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BXD5","NPL","N-acetylneuraminate lyase","OID44816",0.497671215646488,78,NA,NA,"Weak correlation","Spearman","OID30329",0.597460462822726,88,7.54579459362538e-10,1.914427437349e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BXJ0","C1QTNF5","Complement C1q tumor necrosis factor-related protein 5","OID44485",0.221816158525019,78,NA,NA,"No correlation","Spearman","OID30618",0.135992703533026,63,0.287117003801765,0.331786179418826,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BXJ1","C1QTNF1","Complement C1q tumor necrosis factor-related protein 1","OID45318",0.463776729599514,78,NA,NA,"Weak correlation","Spearman","OID20367",0.44651493598862,75,7.07813923520248e-05,0.000121079078735509,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BXN1","ASPN","Asporin","OID44470",0.549033245235777,78,NA,NA,"Moderate correlation","Spearman","OID30315",0.303939962476548,40,0.0569703518474923,0.0735517122938091,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BXR6","CFHR5","Complement factor H-related protein 5","OID45333",0.686313686313686,78,NA,NA,"Moderate correlation","Spearman","OID30716",0.737085419177916,88,2.66806089425404e-16,7.60666855962831e-16,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BY32","ITPA","Inosine triphosphate pyrophosphatase","OID42641",0.552758494702229,78,NA,NA,"Moderate correlation","Spearman","OID30082",0.54025974025974,21,0.0126485034835171,0.0175216692428108,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BY76","ANGPTL4","Angiopoietin-related protein 4","OID44462",0.194668641243984,78,NA,NA,"No correlation","Spearman","OID20703",0.818850267379679,33,4.28434631986853e-07,8.69968884016469e-07,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BYE9","CDHR2","Cadherin-related family member 2","OID43507",0.599663494400337,78,NA,NA,"Moderate correlation","Spearman","OID21282",0.926473178119827,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BYH1","SEZ6L","Seizure 6-like protein","OID44925",0.481075886139177,78,NA,NA,"Weak correlation","Spearman","OID21488",0.40815997419771,53,0.00260211342097819,0.00386550796353207,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BYJ0","FGFBP2","Fibroblast growth factor-binding protein 2","OID45127",0.48868852666321,78,NA,NA,"Weak correlation","Spearman","OID30395",0.827480539607622,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BZR6","RTN4R","Reticulon-4 receptor","OID44198",0.60705117667143,78,NA,NA,"Moderate correlation","Spearman","OID21424",0.38673957621326,76,0.000612126315558766,0.000957189210894525,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9BZZ2","SIGLEC1","Sialoadhesin","OID44933",0.205958598363662,78,NA,NA,"No correlation","Spearman","OID20690",0.186813186813187,14,0.522076764040787,0.57337029825102,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9C0C4","SEMA4C","Semaphorin-4C","OID44224",-0.0438169425511198,78,NA,NA,"No correlation","Spearman","OID21329",-0.271672771672772,27,0.169970747271805,0.205677356559344,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9GZM7","TINAGL1","Tubulointerstitial nephritis antigen-like","OID44983",0.194476409666283,78,NA,NA,"No correlation","Spearman","OID20180",0.269762845849802,23,0.21239117073851,0.252676113555088,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9GZP4","PITHD1","PITH domain-containing protein 1","OID42909",0.0261131273789502,78,NA,NA,"No correlation","Spearman","OID31215",-0.0741503146982599,74,0.529276625882691,0.580148845263649,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H008","LHPP","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase","OID44753",-0.00770115959989378,78,NA,NA,"No correlation","Spearman","OID20749",0.72704081632653,49,2.08306000379539e-08,4.74148133928427e-08,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H0P0","NT5C3A","Cytosolic 5'-nucleotidase 3A","OID44041",-0.114910406049647,78,NA,NA,"No correlation","Spearman","OID20553",0.868166717003926,43,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H173","SIL1","Nucleotide exchange factor SIL1","OID44248",0.394807723921648,78,NA,NA,"Weak correlation","Spearman","OID30207",0.400399851906701,74,0.000452893911054255,0.000723220969703329,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H1U4","MEGF9","Multiple epidermal growth factor-like domains protein 9","OID45181",0.24422413030008,78,NA,NA,"No correlation","Spearman","OID20285",0.479432211938939,88,2.29133403867643e-06,4.37718465256461e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H2A7","CXCL16","C-X-C motif chemokine 16","OID45100",0.0528544983339504,78,NA,NA,"No correlation","Spearman","OID20282",0.638163265306122,49,1.55954661080924e-06,3.02011685009199e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H2X3","CLEC4M","C-type lectin domain family 4 member M","OID45076",0.292049722429469,78,NA,NA,"No correlation","Spearman","OID30405",0.274985883681536,22,0.214712167199714,0.255168459756292,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H3G5","CPVL","Probable serine carboxypeptidase CPVL","OID43561",0.531836584468163,78,NA,NA,"Moderate correlation","Spearman","OID21435",0.62505723644817,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H3K6","BOLA2B","BolA-like protein 2","OID43421",0.101096090610157,78,NA,NA,"No correlation","Spearman","OID30267",0.69060617801416,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H4A9","DPEP2","Dipeptidase 2","OID43631",0.45024595657507,78,NA,NA,"Weak correlation","Spearman","OID21305",0.447696663104719,88,1.22276867111255e-05,2.18434466722479e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H4F8","SMOC1","SPARC-related modular calcium-binding protein 1","OID44262",0.36435394298408,78,NA,NA,"Weak correlation","Spearman","OID21461",0.539393939393939,10,0.113298067042129,0.141184898113205,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H8J5","MANSC1","MANSC domain-containing protein 1","OID44767",0.0559440559440559,78,NA,NA,"No correlation","Spearman","OID21492",0.604821950618154,88,3.23814461478065e-11,8.60203592961731e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9H939","PSTPIP2","Proline-serine-threonine phosphatase-interacting protein 2","OID44876",0.736162571605609,78,NA,NA,"Strong correlation","Spearman","OID30596",0.446153846153846,14,0.111894050319888,0.139898541319107,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HAT2","SIAE","Sialate O-acetylesterase","OID44932",0.465395364129541,78,NA,NA,"Weak correlation","Spearman","OID21503",0.599908421682928,88,4.64205741289138e-10,1.19110973162599e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HB71","CACYBP","Calcyclin-binding protein","OID44490",0.782394820369504,78,NA,NA,"Strong correlation","Spearman","OID30649",0.563636363636364,10,0.095791569143582,0.120971679600788,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HBB8","CDHR5","Cadherin-related family member 5","OID44529",0.562867512234601,78,NA,NA,"Moderate correlation","Spearman","OID20193",0.796114966010355,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HC56","PCDH9","Protocadherin-9","OID44078",0.454596036874518,78,NA,NA,"Weak correlation","Spearman","OID31516",0.701208129336762,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HCB6","SPON1","Spondin-1","OID44956",0.306819762515965,78,NA,NA,"Weak correlation","Spearman","OID20759",0.613454146804873,88,2.09407107075109e-10,5.4474798130829e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HCK4","ROBO2","Roundabout homolog 2","OID44901",0.501435273587172,78,NA,NA,"Moderate correlation","Spearman","OID21007",0.645470383275261,41,8.77907114881852e-06,1.58331810335721e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HCN6","GP6","Platelet glycoprotein VI","OID45136",0.650248485691523,78,NA,NA,"Moderate correlation","Spearman","OID21091",0.932156899012676,88,1.04175452042874e-39,3.35082864263262e-39,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HCU0","CD248","Endosialin","OID45059",0.607885785100975,78,NA,NA,"Moderate correlation","Spearman","OID30394",0.639756611945776,88,1.94848882874297e-11,5.2005765665504e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9HCU4","CELSR2","Cadherin EGF LAG seven-pass G-type receptor 2","OID44533",-0.012839880853988,78,NA,NA,"No correlation","Spearman","OID30593",-0.244755244755245,12,0.443504275627885,0.496250076495423,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NP79","VTA1","Vacuolar protein sorting-associated protein VTA1 homolog","OID45016",0.504824289634416,78,NA,NA,"Moderate correlation","Spearman","OID21016",0.717543859649123,19,0.000783411997131511,0.00121996157898135,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NPG4","PCDH12","Protocadherin-12","OID44076",0.56104654838832,78,NA,NA,"Moderate correlation","Spearman","OID31045",0.619386425275616,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NPH3","IL1RAP","Interleukin-1 receptor accessory protein","OID45157",0.654168616193933,78,NA,NA,"Moderate correlation","Spearman","OID21126",0.878204704865266,88,2.76336589376813e-29,8.66622248351173e-29,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NPY3","CD93","Complement component C1q receptor","OID45331",0.307300294642067,78,NA,NA,"Weak correlation","Spearman","OID20397",0.779155366137156,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NQ25","SLAMF7","SLAM family member 7","OID44252",0.575336056348714,78,NA,NA,"Moderate correlation","Spearman","OID20602",0.473344947735192,41,0.00198567442960129,0.00298512174569887,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NQ76","MEPE","Matrix extracellular phosphoglycoprotein","OID44777",0.783457049279834,78,NA,NA,"Strong correlation","Spearman","OID20753",0.473504273504273,26,0.0154891949130334,0.0211967285537148,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NQ79","CRTAC1","Cartilage acidic protein 1","OID45091",0.7479735454419,78,NA,NA,"Strong correlation","Spearman","OID20279",0.76487603852331,88,4.17715108520819e-18,1.22812593104168e-17,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NQR4","NIT2","Omega-amidase NIT2","OID44812",0.301750880698249,78,NA,NA,"Weak correlation","Spearman","OID30336",0.497664071190211,30,0.00566808186804643,0.00812089394546247,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NR12","PDLIM7","PDZ and LIM domain protein 7","OID44843",0.742637109725717,78,NA,NA,"Strong correlation","Spearman","OID20729",0.6,20,0.00608027362415835,0.00866746075969037,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NR71","ASAH2","Neutral ceramidase","OID43387",0.73722480051594,78,NA,NA,"Strong correlation","Spearman","OID20996",0.823289070480082,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NRA1","PDGFC","Platelet-derived growth factor C","OID42891",0.270172865109574,78,NA,NA,"No correlation","Spearman","OID21183",0.0452257987826175,88,0.675651996221764,0.717602167200726,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NRV9","HEBP1","Heme-binding protein 1","OID42556",-0.206160927679915,78,NA,NA,"No correlation","Spearman","OID20063",-0.146853146853147,12,0.651073351116621,0.692800955146716,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NS15","LTBP3","Latent-transforming growth factor beta-binding protein 3","OID42713",0.411828677651462,78,NA,NA,"Weak correlation","Spearman","OID21191",0.473457885398184,66,7.25873869457344e-05,0.000123980574677359,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NS62","THSD1","Thrombospondin type-1 domain-containing protein 1","OID43188",0.0702967918157791,78,NA,NA,"No correlation","Spearman","OID30476",0.428590250329381,45,0.00357614465179006,0.00525711889566534,"Weak correlation","Spearman"
